strain,stress_z_GPa,stress_x_GPa,stress_y_GPa,temp_K,pe_eV_atom,lx,ly,lz
0.0,-0.8973722282864559,-0.9844970028690211,-1.0545423375484193,299.0831485672,-8.364591556682134,42.6,42.6,170.4
0.000749999999999878,-0.8180508054889642,-0.9387697014869785,-1.0044474285793308,298.838509144128,-8.364623139927202,42.6,42.6,170.5278
0.00150000000000009,-0.7450311852506158,-0.9013371107008513,-0.9523017617665899,299.20979096087024,-8.364565545471498,42.6,42.6,170.6556
0.00224999999999997,-0.5905472531611162,-0.8159119648545978,-0.8635736860881981,299.1710205443934,-8.36454316089401,42.6,42.6,170.7834
0.00299999999999985,-0.4515136025550134,-0.7311070723836898,-0.7751323709027474,298.86019273305885,-8.36451191883267,42.6,42.6,170.9112
0.00375000000000006,-0.3021752067207467,-0.653565175455868,-0.674520404560265,299.8392782766594,-8.364487171497922,42.6,42.6,171.039
0.00449999999999994,-0.15978192737199368,-0.5775572695962155,-0.593668686756943,299.9250694819862,-8.364376812010335,42.6,42.6,171.1668
0.00525000000000015,-0.009413971339205084,-0.4845913392352716,-0.5170021496918458,300.07975268406483,-8.364340420926265,42.6,42.6,171.2946
0.00600000000000003,0.1375029831684099,-0.4355614152042594,-0.4339795022651636,310.959443725303,-8.364300372462576,42.6,42.6,171.4224
0.00674999999999991,0.3207634964750235,-0.3380793990095653,-0.3135772744736023,312.485710636235,-8.364754357661866,42.6,42.6,171.5502
0.00750000000000012,0.49927234153907596,-0.21296408945586492,-0.20441348296260395,310.04339181532083,-8.365160527142848,42.6,42.6,171.678
0.00825,0.6415937680490188,-0.1290530830535666,-0.12867487027453547,310.15445278625356,-8.364929400422408,42.6,42.6,171.8058
0.00899999999999987,0.7735557928828662,-0.05798324343696698,-0.06101641018901678,310.03494152064576,-8.364624935220835,42.6,42.6,171.9336
0.00975000000000008,0.9333224318455796,0.05589983143980522,0.026718587870316425,298.969720019258,-8.364436552191965,42.6,42.6,172.0614
0.0105,1.0352186363258546,0.11963028726198592,0.06311546679664451,298.1058215443078,-8.36361260208932,42.6,42.6,172.1892
0.0112499999999998,1.1343972687960016,0.14818004894336334,0.09831259243476217,299.5207761125906,-8.362898146061202,42.6,42.6,172.317
0.0120000000000001,1.2648404816076657,0.23336169387466105,0.18552588672856773,299.7762747307602,-8.362845881665573,42.6,42.6,172.4448
0.0127499999999999,1.411644160194316,0.3268641824043298,0.29284424506941165,300.1298367292374,-8.362782930853417,42.6,42.6,172.5726
0.0135000000000001,1.527182949046678,0.4048385769383712,0.354699744621223,300.5847111501208,-8.362604820344387,42.6,42.6,172.7004
0.01425,1.664822423076528,0.4958320435750484,0.43516368376312975,300.3688312047834,-8.362471740733056,42.6,42.6,172.8282
0.0149999999999999,1.799014509948328,0.5876004232126275,0.5254879841417024,301.01390852467523,-8.362330273742474,42.6,42.6,172.956
0.0157500000000001,1.9346294153122319,0.6495995183418921,0.6013988890718702,301.0021023669134,-8.362144744707765,42.6,42.6,173.0838
0.0165,2.062325044539306,0.7055602852394591,0.6700825702922193,300.7164237954546,-8.361918281836589,42.6,42.6,173.2116
0.0172499999999999,2.1914740510627526,0.7674670145801683,0.7489881194386132,300.2753881720178,-8.36161950226616,42.6,42.6,173.3394
0.0180000000000001,2.311906666749342,0.8232455552467999,0.8081648690160659,300.3997827145,-8.36143246350469,42.6,42.6,173.4672
0.01875,2.456776591554702,0.8992817965413528,0.8781160142336445,300.36214625527765,-8.361187690438019,42.6,42.6,173.595
0.0194999999999998,2.589129133624258,0.9872287460899238,0.9408029578237617,300.41418242772215,-8.360957375387754,42.6,42.6,173.7228
0.02025,2.703693598327222,1.0471888283651194,1.01155729499581,300.5345988237882,-8.360732995768535,42.6,42.6,173.8506
0.0209999999999999,2.816317703977608,1.1273140532975305,1.0667506256188453,300.8111129660124,-8.360513790090714,42.6,42.6,173.9784
0.0217500000000001,2.935950986674834,1.195666725329904,1.15061679991415,300.5857692128132,-8.360267164608468,42.6,42.6,174.1062
0.0225,3.038984374303928,1.252754567865102,1.2160433155292298,300.30700453912334,-8.359964506289602,42.6,42.6,174.234
0.0232499999999999,3.137311224371922,1.3068322989523018,1.288119174513656,300.15359971218,-8.359675723764733,42.6,42.6,174.3618
0.0240000000000001,3.267218604799332,1.4078957724110939,1.360592634965602,299.97530453661545,-8.35942921631166,42.6,42.6,174.4896
0.02475,3.4043837249023063,1.4714823169547837,1.442101260992328,299.8831188454136,-8.359101845301137,42.6,42.6,174.6174
0.0254999999999999,3.5184750002466543,1.547563036455182,1.511917298207474,299.3381954459698,-8.358777633679708,42.6,42.6,174.7452
0.0262500000000001,3.633755974504834,1.616418438936968,1.561915043564928,299.6487296948132,-8.358474922635917,42.6,42.6,174.873
0.027,3.785374224025026,1.7090731719517422,1.630897790871018,299.5065633019184,-8.3581860310455,42.6,42.6,175.0008
0.02775,3.908345233107192,1.77175826511207,1.691705912088588,299.67097369943264,-8.357890648919053,42.6,42.6,175.1286
0.0285,4.016668684172534,1.845038181608712,1.769282582183246,299.855082688734,-8.357599405374208,42.6,42.6,175.2564
0.0292499999999999,4.1469354097122695,1.929049365270228,1.8471441732977323,299.67165382507324,-8.35732037714302,42.6,42.6,175.3842
0.0300000000000001,4.273091777874702,2.0114118285049556,1.9458328256475759,299.4503531557156,-8.35697604105905,42.6,42.6,175.512
0.03075,4.382257127718244,2.063218343577718,2.024087612981736,299.61797373234276,-8.35672529031211,42.6,42.6,175.6398
0.0314999999999999,4.49475871495472,2.12346197292979,2.090185507380132,299.0692046484448,-8.356321049643588,42.6,42.6,175.7676
0.0322500000000001,4.620267871384742,2.1925935174411118,2.1540509191209685,298.7376725391378,-8.355973361104438,42.6,42.6,175.8954
0.033,4.739384062268717,2.2455926936341783,2.227758610086478,299.39595505175396,-8.355593284276726,42.6,42.6,176.0232
0.0337499999999999,4.854012440822246,2.306692326248452,2.289041588811072,299.41671252581637,-8.355314608537787,42.6,42.6,176.151
0.0345000000000001,4.95296795623511,2.378501263388532,2.3481729593205762,299.6117629111094,-8.354841254386884,42.6,42.6,176.2788
0.0352499999999999,5.074334394010665,2.444844604431474,2.4090345193582103,299.4925715803556,-8.35450332459532,42.6,42.6,176.4066
0.036,5.1842275665947595,2.510098868128962,2.470307845761388,300.1997177457922,-8.354165791010283,42.6,42.6,176.5344
0.03675,5.28688819183102,2.5801222829321615,2.5157296104519737,299.6994673882202,-8.353732560300848,42.6,42.6,176.6622
0.0374999999999999,5.4281727866884095,2.6542440937850182,2.595229916594662,299.1513376923782,-8.353399747531638,42.6,42.6,176.79
0.0382500000000001,5.546536390712042,2.725499878035534,2.66646975189431,298.6749243035464,-8.353023796576846,42.6,42.6,176.9178
0.039,5.656855596697602,2.8045086028480055,2.741911451150562,299.50758627829737,-8.352639706818657,42.6,42.6,177.0456
0.0397499999999999,5.764851905861664,2.8481201600528676,2.79447706318979,299.3750343477014,-8.352046722503095,42.6,42.6,177.1734
0.0405000000000001,5.881592692433038,2.900932715888008,2.872548987687444,299.3665189037052,-8.351702013066804,42.6,42.6,177.3012
0.04125,5.967765211251422,2.961344006380374,2.911932834222226,300.1604027972552,-8.35107777074782,42.6,42.6,177.429
0.0419999999999999,6.076518564549414,3.0202252131350478,2.987229546787948,300.14300474172876,-8.350591143453153,42.6,42.6,177.5568
0.0427500000000001,6.182855492150759,3.07863778819618,3.047990164389196,299.997965340842,-8.350159553528112,42.6,42.6,177.6846
0.0434999999999999,6.2927282714416695,3.149450283763106,3.1140661017968463,300.0994377549202,-8.349834923890796,42.6,42.6,177.8124
0.0442500000000002,6.401892827282614,3.210894509175224,3.16445802334954,299.9837809209262,-8.34935306418789,42.6,42.6,177.9402
0.045,6.505241090838046,3.274854715376036,3.239784000205404,299.9810068323418,-8.348969083216453,42.6,42.6,178.068
0.0457499999999999,6.618377455935215,3.3367316864823997,3.287777456998178,299.83895733331843,-8.3485468549302,42.6,42.6,178.1958
0.0465000000000001,6.72288230687847,3.3837673325831217,3.3497229829702397,299.589145310063,-8.348038272105645,42.6,42.6,178.3236
0.04725,6.836715129351236,3.46840731107822,3.424405778225278,299.3679871365738,-8.347571452427008,42.6,42.6,178.4514
0.0479999999999999,6.946944476976708,3.53705750651826,3.4983188354181323,299.84263053633,-8.347131467371694,42.6,42.6,178.5792
0.0487500000000001,7.0557657624287256,3.5971414548544383,3.5503187982498816,308.5118337634634,-8.346646810142223,42.6,42.6,178.707
0.0495,7.1855646582904145,3.6709562176815838,3.62549460912268,309.3003458700508,-8.346231126805561,42.6,42.6,178.8348
0.0502499999999999,7.299401997150912,3.745680356781558,3.705483012657094,308.4673237054588,-8.345759469080255,42.6,42.6,178.9626
0.0510000000000001,7.390112878129457,3.7974721261937296,3.7703646076439705,308.805962017822,-8.345145607437804,42.6,42.6,179.0904
0.0517499999999999,7.4951537943358035,3.8676893013418256,3.8517065359127765,308.2332340435234,-8.344706741667997,42.6,42.6,179.2182
0.0525000000000002,7.587694399839362,3.9330702016428205,3.9239775109250745,299.7226869094592,-8.344225490411207,42.6,42.6,179.346
0.05325,7.676063567498223,3.97976043836717,3.972338144734374,299.5286262790866,-8.343628918861425,42.6,42.6,179.4738
0.0539999999999999,7.766122032073203,4.050500686485054,4.029338125356579,299.9705248734318,-8.343169767450995,42.6,42.6,179.6016
0.0547500000000001,7.872474861291042,4.111319639804066,4.091905842867666,299.806224186115,-8.342751937026907,42.6,42.6,179.7294
0.0555,7.963931568858504,4.1654653413633715,4.1355512355972195,300.015407921623,-8.342188959920335,42.6,42.6,179.8572
0.0562499999999999,8.091012154910564,4.239963284589446,4.211713249525004,299.9789533283926,-8.34172953461758,42.6,42.6,179.985
0.0570000000000001,8.193403703151859,4.31754519200763,4.288581476938312,300.3833093265804,-8.341262160518387,42.6,42.6,180.1128
