sample,max_stress_GPa,strain_at_max_stress,final_strain,final_stress_GPa,mean_temp_K
W1_joint_300K,13.503726535348239,0.14625,0.3,0.11241689144252354,301.90335255248067
W2_joint_300K,14.1995023612052,0.14175,0.186,-6.23165478900501,457.54942530263077
W3_joint_300K,14.178332659907,0.1545,0.3,-0.8876535784461366,308.67342132757693
