Engineering strain,Tensile stress (GPa)
0.0,-0.8973722282864559
0.000749999999999878,-0.8180508054889642
0.00150000000000009,-0.7450311852506158
0.00224999999999997,-0.5905472531611162
0.00299999999999985,-0.4515136025550134
0.00375000000000006,-0.3021752067207467
0.00449999999999994,-0.15978192737199368
0.00525000000000015,-0.009413971339205084
0.00600000000000003,0.1375029831684099
0.00674999999999991,0.3207634964750235
0.00750000000000012,0.49927234153907596
0.00825,0.6415937680490188
0.00899999999999987,0.7735557928828662
0.00975000000000008,0.9333224318455796
0.0105,1.0352186363258546
0.0112499999999998,1.1343972687960016
0.0120000000000001,1.2648404816076657
0.0127499999999999,1.411644160194316
0.0135000000000001,1.527182949046678
0.01425,1.664822423076528
0.0149999999999999,1.799014509948328
0.0157500000000001,1.9346294153122319
0.0165,2.062325044539306
0.0172499999999999,2.1914740510627526
0.0180000000000001,2.311906666749342
0.01875,2.456776591554702
0.0194999999999998,2.589129133624258
0.02025,2.703693598327222
0.0209999999999999,2.816317703977608
0.0217500000000001,2.935950986674834
0.0225,3.038984374303928
0.0232499999999999,3.137311224371922
0.0240000000000001,3.267218604799332
0.02475,3.4043837249023063
0.0254999999999999,3.5184750002466543
0.0262500000000001,3.633755974504834
0.027,3.785374224025026
0.02775,3.908345233107192
0.0285,4.016668684172534
0.0292499999999999,4.1469354097122695
0.0300000000000001,4.273091777874702
0.03075,4.382257127718244
0.0314999999999999,4.49475871495472
0.0322500000000001,4.620267871384742
0.033,4.739384062268717
0.0337499999999999,4.854012440822246
0.0345000000000001,4.95296795623511
0.0352499999999999,5.074334394010665
0.036,5.1842275665947595
0.03675,5.28688819183102
0.0374999999999999,5.4281727866884095
0.0382500000000001,5.546536390712042
0.039,5.656855596697602
0.0397499999999999,5.764851905861664
0.0405000000000001,5.881592692433038
0.04125,5.967765211251422
0.0419999999999999,6.076518564549414
0.0427500000000001,6.182855492150759
0.0434999999999999,6.2927282714416695
0.0442500000000002,6.401892827282614
0.045,6.505241090838046
0.0457499999999999,6.618377455935215
0.0465000000000001,6.72288230687847
0.04725,6.836715129351236
0.0479999999999999,6.946944476976708
0.0487500000000001,7.0557657624287256
0.0495,7.1855646582904145
0.0502499999999999,7.299401997150912
0.0510000000000001,7.390112878129457
0.0517499999999999,7.4951537943358035
0.0525000000000002,7.587694399839362
0.05325,7.676063567498223
0.0539999999999999,7.766122032073203
0.0547500000000001,7.872474861291042
0.0555,7.963931568858504
0.0562499999999999,8.091012154910564
0.0570000000000001,8.193403703151859
0.05775,8.308521798473524
0.0584999999999998,8.415344649292232
0.0592500000000001,8.519775138390502
0.0599999999999999,8.605600185466988
0.0607500000000002,8.698232461441087
0.0615,8.793386431427377
0.0622499999999999,8.885277888969807
0.0630000000000001,8.98786403116944
0.06375,9.077843328764038
0.0644999999999999,9.170138284581318
0.0652500000000001,9.256348108697154
0.066,9.365940052360747
0.06675,9.457794765766131
0.0675000000000001,9.564853819505455
0.0682499999999999,9.658109185182045
0.0690000000000001,9.750391859088003
0.06975,9.834859073580748
0.0704999999999999,9.915617825494964
0.0712500000000001,9.986329607211752
0.072,10.074780586648256
