Engineering strain,Tensile stress (GPa),sample
0.0,-0.7535850604872733,W1_joint_300K
0.000749999999999878,-0.716590514098678,W1_joint_300K
0.00150000000000009,-0.6709023109842444,W1_joint_300K
0.00224999999999997,-0.5833177628687234,W1_joint_300K
0.00299999999999985,-0.5180769656167162,W1_joint_300K
0.00375000000000006,-0.4439188966417419,W1_joint_300K
0.00449999999999994,-0.3484070305753766,W1_joint_300K
0.00525000000000015,-0.2462184877938572,W1_joint_300K
0.00600000000000003,-0.10191716690002564,W1_joint_300K
0.00674999999999991,0.051531195844458574,W1_joint_300K
0.00750000000000012,0.2039296707934808,W1_joint_300K
0.00825,0.35535454098925723,W1_joint_300K
0.00899999999999987,0.5071313563120974,W1_joint_300K
0.00975000000000008,0.626962160925702,W1_joint_300K
0.0105,0.7897752851289785,W1_joint_300K
0.0112499999999998,0.9115799295620267,W1_joint_300K
0.0120000000000001,1.0503256552483293,W1_joint_300K
0.0127499999999999,1.1895339565110097,W1_joint_300K
0.0135000000000001,1.330783082371118,W1_joint_300K
0.01425,1.442568930160788,W1_joint_300K
0.0149999999999999,1.579656705766738,W1_joint_300K
0.0157500000000001,1.723014324455108,W1_joint_300K
0.0165,1.848547212911604,W1_joint_300K
0.0172499999999999,1.97393008203391,W1_joint_300K
0.0180000000000001,2.100078949505496,W1_joint_300K
0.01875,2.2189746745749637,W1_joint_300K
0.0194999999999998,2.335976336111808,W1_joint_300K
0.02025,2.450797239273284,W1_joint_300K
0.0209999999999999,2.57975829114,W1_joint_300K
0.0217500000000001,2.702722438660524,W1_joint_300K
0.0225,2.824829664147852,W1_joint_300K
0.0232499999999999,2.949205273603696,W1_joint_300K
0.0240000000000001,3.084840511934744,W1_joint_300K
0.02475,3.2031569423693727,W1_joint_300K
0.0254999999999999,3.3437489846144843,W1_joint_300K
0.0262500000000001,3.470182353631936,W1_joint_300K
0.027,3.5891705021926157,W1_joint_300K
0.02775,3.718419160306604,W1_joint_300K
0.0285,3.8419275601875342,W1_joint_300K
0.0292499999999999,3.9389124254440437,W1_joint_300K
0.0300000000000001,4.059040877183894,W1_joint_300K
0.03075,4.185519057505464,W1_joint_300K
0.0314999999999999,4.286531610823835,W1_joint_300K
0.0322500000000001,4.406716434839006,W1_joint_300K
0.033,4.536840955630604,W1_joint_300K
0.0337499999999999,4.659053841804513,W1_joint_300K
0.0345000000000001,4.759927449914652,W1_joint_300K
0.0352499999999999,4.868565332715124,W1_joint_300K
0.036,4.982057343369663,W1_joint_300K
0.03675,5.091338960585816,W1_joint_300K
0.0374999999999999,5.204938622678614,W1_joint_300K
0.0382500000000001,5.33294885546008,W1_joint_300K
0.039,5.439868057853504,W1_joint_300K
0.0397499999999999,5.55377669820315,W1_joint_300K
0.0405000000000001,5.652774048495012,W1_joint_300K
0.04125,5.762742125257968,W1_joint_300K
0.0419999999999999,5.860521457522912,W1_joint_300K
0.0427500000000001,5.981020734669068,W1_joint_300K
0.0434999999999999,6.090779157127052,W1_joint_300K
0.0442500000000002,6.205164789858042,W1_joint_300K
0.045,6.320444966799544,W1_joint_300K
0.0457499999999999,6.427663873593095,W1_joint_300K
0.0465000000000001,6.547027043752412,W1_joint_300K
0.04725,6.659556323402808,W1_joint_300K
0.0479999999999999,6.77464166307127,W1_joint_300K
0.0487500000000001,6.88925810061328,W1_joint_300K
0.0495,6.9944806283385885,W1_joint_300K
0.0502499999999999,7.107644855573295,W1_joint_300K
0.0510000000000001,7.215139615018994,W1_joint_300K
0.0517499999999999,7.335253865603538,W1_joint_300K
0.0525000000000002,7.432236056917532,W1_joint_300K
0.05325,7.556958207614748,W1_joint_300K
0.0539999999999999,7.645932898906809,W1_joint_300K
0.0547500000000001,7.763543076532943,W1_joint_300K
0.0555,7.856907502271208,W1_joint_300K
0.0562499999999999,7.966964642243889,W1_joint_300K
0.0570000000000001,8.063765211329962,W1_joint_300K
0.05775,8.177447567890841,W1_joint_300K
0.0584999999999998,8.278438920479493,W1_joint_300K
0.0592500000000001,8.396721624608286,W1_joint_300K
0.0599999999999999,8.499910978788034,W1_joint_300K
0.0607500000000002,8.612968597653209,W1_joint_300K
0.0615,8.70979437260535,W1_joint_300K
0.0622499999999999,8.800997438409246,W1_joint_300K
0.0630000000000001,8.888674318727677,W1_joint_300K
0.06375,8.987301794319748,W1_joint_300K
0.0644999999999999,9.089226794995941,W1_joint_300K
0.0652500000000001,9.19704386152911,W1_joint_300K
0.066,9.285824696214918,W1_joint_300K
0.06675,9.385919738009896,W1_joint_300K
0.0675000000000001,9.470723898405534,W1_joint_300K
0.0682499999999999,9.549272140500893,W1_joint_300K
0.0690000000000001,9.644254430655781,W1_joint_300K
0.06975,9.74558077840412,W1_joint_300K
0.0704999999999999,9.828675557151703,W1_joint_300K
0.0712500000000001,9.927340209231124,W1_joint_300K
0.072,10.015523420164772,W1_joint_300K
0.0727499999999999,10.094292682366413,W1_joint_300K
0.0735000000000001,10.176726796884646,W1_joint_300K
0.07425,10.27045526246118,W1_joint_300K
0.075,10.36194923545558,W1_joint_300K
0.0757500000000001,10.432476187074721,W1_joint_300K
0.0764999999999999,10.50100463826176,W1_joint_300K
0.0772500000000001,10.58121333635974,W1_joint_300K
