Engineering strain,Tensile stress (GPa)
0.0,-0.55281507639925
0.000749999999999878,-0.407649611747357
0.00150000000000009,-0.237763569196558
0.00224999999999997,-0.122021504494549
0.00299999999999985,0.0752944744209192
0.00375000000000006,0.233850504860745
0.00449999999999994,0.452247966686215
0.00525000000000015,0.59583050478672
0.00600000000000003,0.774084918468352
0.00674999999999991,0.820825401249744
0.00750000000000012,1.03347979376721
0.00825,1.16795437952024
0.00899999999999987,1.25831012217539
0.00975000000000008,1.39280980178289
0.0105,1.52145218345146
0.0112499999999998,1.62361512893041
0.0120000000000001,1.83395616032026
0.0127499999999999,1.98332451656963
0.0135000000000001,2.1211933479043
0.01425,2.22430980423967
0.0149999999999999,2.35046646816384
0.0157500000000001,2.59371786374039
0.0165,2.75885305227017
0.0172499999999999,2.7965407840447
0.0180000000000001,2.74547329911963
0.01875,3.03773342561537
0.0194999999999998,3.14917412266482
0.02025,3.17545348050701
0.0209999999999999,3.33354808127486
0.0217500000000001,3.53090381493946
0.0225,3.61454434288127
0.0232499999999999,3.81365104521251
0.0240000000000001,3.85161771126171
0.02475,4.00982312701585
0.0254999999999999,4.10455663128066
0.0262500000000001,4.27734349912167
0.027,4.35210980819421
0.02775,4.46792776947906
0.0285,4.62867095571704
0.0292499999999999,4.72395319355583
0.0300000000000001,4.83536089822652
0.03075,5.00426681177107
0.0314999999999999,5.03333337855368
0.0322500000000001,5.2045552035222
0.033,5.28978160275
0.0337499999999999,5.37624836079199
0.0345000000000001,5.44680565800747
0.0352499999999999,5.60522976207662
0.036,5.74550267222309
0.03675,5.85462252232061
0.0374999999999999,5.92255725492544
0.0382500000000001,6.13343823232757
0.039,6.15896541094315
0.0397499999999999,6.25850101364051
0.0405000000000001,6.3649756337128
0.04125,6.49231107285789
0.0419999999999999,6.54723216895594
0.0427500000000001,6.62829266070636
0.0434999999999999,6.71224706607181
0.0442500000000002,6.82487212435165
0.045,7.03674015328837
0.0457499999999999,7.04395298144197
0.0465000000000001,7.15421425691344
0.04725,7.24657954603519
0.0479999999999999,7.42716804058882
0.0487500000000001,7.47920209208041
0.0495,7.53281925614172
0.0502499999999999,7.67884712363137
0.0510000000000001,7.82601887085577
0.0517499999999999,7.89314528525748
0.0525000000000002,7.93473212176305
0.05325,8.07864903284388
0.0539999999999999,8.26478423137912
0.0547500000000001,8.28255636188635
0.0555,8.30441413083216
0.0562499999999999,8.47779129097805
0.0570000000000001,8.55397553264204
0.05775,8.65401858327648
0.0584999999999998,8.77953501720089
0.0592500000000001,8.83366634849576
0.0599999999999999,8.93829436421595
0.0607500000000002,8.9648278150533
0.0615,9.06737129731798
0.0622499999999999,9.22350086280483
0.0630000000000001,9.37163178235629
0.06375,9.33633322412182
0.0644999999999999,9.43400359452521
0.0652500000000001,9.50169726209518
0.066,9.64861831694826
0.06675,9.65249010708667
0.0675000000000001,9.76697805338965
0.0682499999999999,9.74256913499163
0.0690000000000001,9.91981439380234
0.06975,9.99362319526023
0.0704999999999999,10.0676015025807
0.0712500000000001,10.134548130243
0.072,10.2619001565648
0.0727499999999999,10.3086291301328
0.0735000000000001,10.4070833479596
0.07425,10.5421158784235
0.075,10.5937212833486
0.0757500000000001,10.6849900803453
0.0764999999999999,10.7100364604033
0.0772500000000001,10.7800745173728
0.078,10.8590345628908
0.0787499999999999,10.9358610005649
0.0795000000000001,10.9828093837179
0.08025,11.1685978627796
0.0809999999999999,11.1965038366368
0.0817500000000001,11.2103709624111
0.0824999999999999,11.3445569802101
0.08325,11.373575793483
0.084,11.4423666981599
0.0847499999999999,11.5458318678369
0.0855000000000001,11.5456884144409
0.08625,11.644134197954
0.0869999999999999,11.7126103139984
0.0877500000000001,11.7513539360186
0.0885,11.7881686000297
0.0892499999999999,11.7976034165434
0.0900000000000001,11.9136669330122
0.09075,11.9894741086472
0.0915,11.9711296285336
0.09225,11.9770734254958
0.0929999999999999,12.0945881709033
0.0937500000000001,12.1886617645173
0.0945,12.147443027896
0.0952499999999999,12.2829018007479
0.0960000000000001,12.3226024962273
0.09675,12.3074638063885
0.0974999999999999,12.3677961268666
0.0982500000000001,12.4262365912277
0.0989999999999999,12.4529413303913
0.09975,12.4755154375702
0.1005,12.5595910379406
0.10125,12.5546634305117
0.102,12.5730218435323
0.10275,12.6033891223353
0.1035,12.7003384290534
0.10425,12.7243091557661
0.105,12.761982286749
0.10575,12.7799483097193
0.1065,12.8518106781388
0.10725,12.8632999614923
0.108,12.9068311012118
0.10875,12.9906776926521
0.1095,12.9497860024807
0.11025,12.9094527834437
0.111,12.9296338691873
0.11175,13.0004184956114
0.1125,12.9611894242637
0.11325,13.0745919998105
0.114,13.0103051644263
0.11475,13.1019991618125
0.1155,13.0989755655001
0.11625,13.0844099409285
0.117,13.1112940002623
0.11775,13.1667245455756
0.1185,13.2017659323124
0.11925,13.2121522069948
0.12,13.2077237220725
0.12075,13.2762712408439
0.1215,13.30944984844
0.12225,13.3461555194668
0.123,13.3523460514934
0.12375,13.3538587753895
0.1245,13.4353525883517
0.12525,13.4521677485297
0.126,13.5491760251248
0.12675,13.4918864099392
0.1275,13.5919838535396
0.12825,13.572570486038
0.129,13.5868874821577
0.12975,13.5542640561887
