# Time-averaged data for fix rdf1850out
# TimeStep Number-of-rows
# Row c_rdf1850[1] c_rdf1850[2] c_rdf1850[3] c_rdf1850[4] c_rdf1850[5] c_rdf1850[6] c_rdf1850[7] c_rdf1850[8] c_rdf1850[9] c_rdf1850[10] c_rdf1850[11] c_rdf1850[12] c_rdf1850[13] c_rdf1850[14] c_rdf1850[15] c_rdf1850[16] c_rdf1850[17] c_rdf1850[18] c_rdf1850[19] c_rdf1850[20] c_rdf1850[21]
360000 200
40 1.185 0 2.88268e-05 0.00373222 2.16201e-05 0.115907 0.000223407 0.0148764 0.000115307 0 0.000230614 0.0786618 0.000799942 0 0 1.3808 0.000515464 4.23646 0.0132492 25.7409 0.194521
41 1.215 0 2.88268e-05 0.00353931 3.60334e-05 0.018247 0.000230614 0.0280603 0.00012972 0.00866013 0.000237821 0.111815 0.000821562 0 0 0 0.000515464 0.805531 0.0135647 7.01294 0.19726
42 1.245 0 2.88268e-05 0.00166831 4.32401e-05 0.105118 0.000273854 0.0266996 0.000144134 0 0.000237821 0.177799 0.000857596 0 0 0 0.000515464 3.82554 0.015142 23.36 0.206849
43 1.275 0 2.88268e-05 0.00640952 7.20669e-05 0.0168041 0.000281061 0.038388 0.000165754 0.0701947 0.000302681 0.0675011 0.000872009 0 0 0 0.000515464 2.93029 0.0164038 9.50303 0.210959
44 1.305 0 2.88268e-05 0.00610219 0.000100894 0.0476371 0.000302681 0.0485643 0.000194581 0.0224158 0.000324301 0.0651186 0.000886423 0 0 0 0.000515464 3.47786 0.0179811 18.2695 0.219178
45 1.335 0 2.88268e-05 0.00731682 0.000136927 0.0153181 0.000309888 0.0231104 0.000208994 0.0355581 0.000360334 0.0924347 0.000908043 0 0 0 0.000515464 3.3388 0.0195584 17.3513 0.227397
46 1.365 0.000311435 4.32401e-05 0.00558712 0.000165754 0.0293578 0.000324301 0.011137 0.000216201 0.0613059 0.000425195 0.0589254 0.000922456 0 0 1.03406 0.00103093 0.643308 0.0198738 27.6751 0.241096
47 1.395 0 4.32401e-05 0.0107816 0.000223407 0 0.000324301 0.053047 0.000252234 0.14372 0.000583742 0.0564011 0.000936869 0 0 1.00404 0.00154639 4.26656 0.022082 13.3217 0.247945
48 1.425 0.000854693 8.64803e-05 0.00642507 0.000259441 0 0.000324301 0.0611937 0.000295474 0.074868 0.000670222 0.0271572 0.000944076 0 0 1.9126 0.00257732 4.68742 0.0246057 5.09313 0.250685
49 1.455 0.000546666 0.000115307 0.00741812 0.000302681 0.0257909 0.000338714 0.0586259 0.000338714 0.227823 0.000944076 0.0260489 0.000951283 0 0 2.75801 0.00412371 1.11808 0.0252366 19.5166 0.261644
50 1.485 0.000528041 0.000144134 0.00828815 0.000353128 0.0244949 0.000353128 0.0659145 0.000389161 0.212849 0.00121072 0.0749591 0.000972903 0 0 1.75499 0.00515464 5.41376 0.0283912 11.6869 0.268493
51 1.515 0.000505326 0.000172961 0.00793123 0.000403575 0.0235816 0.000367541 0.0812382 0.000454021 0.226804 0.0015062 0 0.000972903 0 0 2.53277 0.00670103 2.07785 0.029653 11.2299 0.275342
52 1.545 0.000484734 0.000201787 0.0109242 0.000475641 0.0228252 0.000381954 0.0694407 0.000511675 0.201932 0.00178005 0.0230739 0.00098011 0 0 5.69731 0.0103093 4.48014 0.0324921 8.63809 0.280822
53 1.575 0.000702777 0.000245027 0.0105531 0.000547708 0.0437405 0.000410781 0.100273 0.000598155 0.301599 0.00220525 0.022134 0.000987316 0 0 3.13774 0.0123711 3.36163 0.0347003 16.7225 0.291781
54 1.605 0.000224982 0.000259441 0.0151804 0.000655809 0.0737676 0.000461228 0.0806058 0.000670222 0.216647 0.00252234 0.0212003 0.000994523 0.0947277 6.49351e-05 4.53608 0.0154639 2.31017 0.0362776 18.0342 0.30411
55 1.635 0.000868742 0.000317094 0.0107333 0.000735082 0.304995 0.000677429 0.116479 0.000778322 0.30779 0.00299078 0.0411811 0.00100894 0 6.49351e-05 15.9751 0.0268041 1.777 0.0375394 9.67563 0.310959
