# Time-averaged data for fix rdf300out
# TimeStep Number-of-rows
# Row c_rdf300[1] c_rdf300[2] c_rdf300[3] c_rdf300[4] c_rdf300[5] c_rdf300[6] c_rdf300[7] c_rdf300[8] c_rdf300[9] c_rdf300[10] c_rdf300[11] c_rdf300[12] c_rdf300[13] c_rdf300[14] c_rdf300[15] c_rdf300[16] c_rdf300[17] c_rdf300[18] c_rdf300[19] c_rdf300[20] c_rdf300[21]
10000 200
58 1.725 0 0 0 0 1.15313 0.00128279 0.0121147 1.44134e-05 0.0074415 0.000115307 0 0 0.358529 0.000324675 2.8433 0.00515464 0 0.00126183 9.0683 0.0410959
59 1.755 0 0 0 0 2.65111 0.0037691 0.00585203 2.16201e-05 0 0.000115307 0 0 1.45478 0.00168831 8.79226 0.0134021 0.673331 0.00189274 4.37721 0.0452055
60 1.785 0 0 0 0 4.39757 0.00803546 0 2.16201e-05 0 0.000115307 0 0 2.81127 0.00441558 10.6215 0.0237113 0.325447 0.0022082 4.23851 0.0493151
61 1.815 0 0 0 0 4.92861 0.0129792 0.0054718 2.88268e-05 0.00335733 0.000122514 0 0 3.62483 0.00805195 17.9804 0.0417526 1.88549 0.00410095 4.09537 0.0534247
62 1.845 0 0 0 0 4.0044 0.0171303 0.00529727 3.60334e-05 0 0.000122514 0 0 4.57304 0.0127922 6.95847 0.0489691 1.52106 0.00567823 3.96147 0.0575342
63 1.875 0 0 0 0 3.2113 0.0205679 0.00513364 4.32401e-05 0.00314388 0.00012972 0 0 3.88156 0.0169481 6.25568 0.0556701 0 0.00567823 1.27905 0.0589041
64 1.905 0 0 0 0 3.69761 0.0246541 0 4.32401e-05 0 0.00012972 0 0 3.76039 0.0211039 4.20024 0.0603093 1.71605 0.00757098 4.95676 0.0643836
65 1.935 0 0 0 0 4.34901 0.0296123 0.00482055 5.04468e-05 0.00294977 0.000136927 0 0 3.1315 0.0246753 3.62055 0.064433 0.829731 0.00851735 3.60148 0.0684932
66 1.965 0 0 0.00117728 1.44134e-05 4.62086 0.0350461 0.0233739 8.64803e-05 0.00286073 0.000144134 0 0 3.3696 0.0286364 0.877642 0.0654639 0.804961 0.00946372 0 0.0684932
67 1.995 0.000126807 1.44134e-05 0.00343131 5.76535e-05 4.70983 0.0407538 0.0181351 0.000115307 0.00832925 0.000165754 0 0 3.2144 0.0325325 0 0.0654639 0.259959 0.00977918 3.38861 0.0726027
68 2.025 0.00036991 5.76535e-05 0.00221712 8.64803e-05 3.80911 0.0455102 0.0176232 0.000144134 0.00808478 0.000187374 0 0 3.06815 0.0363636 0 0.0654639 0 0.00977918 2.19547 0.0753425
69 2.055 0.000836668 0.000158547 0.0102348 0.000223407 2.9141 0.0492577 0.025643 0.000187374 0.0104553 0.000216201 0 0 2.37343 0.0394156 0 0.0654639 0.245234 0.0100946 0 0.0753425
