# Time-averaged data for fix rdffinalout
# TimeStep Number-of-rows
# Row c_rdffinal[1] c_rdffinal[2] c_rdffinal[3] c_rdffinal[4] c_rdffinal[5] c_rdffinal[6] c_rdffinal[7] c_rdffinal[8] c_rdffinal[9] c_rdffinal[10] c_rdffinal[11] c_rdffinal[12] c_rdffinal[13] c_rdffinal[14] c_rdffinal[15] c_rdffinal[16] c_rdffinal[17] c_rdffinal[18] c_rdffinal[19] c_rdffinal[20] c_rdffinal[21]
760000 200
44 1.305 0 0.000144134 0.0309451 0.000605362 0.0146356 0.000360334 0.0111613 0.000425195 0.00683254 0.000223407 0 0.001081 0 0 0 0 1.28116 0.0132492 27.823 0.417808
45 1.335 0 0.000144134 0.025538 0.000742289 0 0.000360334 0 0.000425195 0.0130553 0.000237821 0 0.001081 0 0 0 0 4.28585 0.0154574 23.9211 0.430137
46 1.365 0 0.000144134 0.0385692 0.000958489 0 0.000360334 0.0102062 0.000432401 0.0187354 0.000259441 0 0.001081 0 0 0.956629 0.000515464 2.9279 0.0170347 15.2581 0.438356
47 1.395 0 0.000144134 0.0443088 0.00121793 0 0.000360334 0 0.000432401 0.0239247 0.000288268 0.0519437 0.00109542 0 0 2.74752 0.00206186 5.04598 0.0198738 19.4773 0.449315
48 1.425 0 0.000144134 0.0377474 0.00144854 0 0.000360334 0 0.000432401 0.0515817 0.000353128 0 0.00109542 0 0 2.63417 0.00360825 4.8358 0.0227129 18.6661 0.460274
49 1.455 0 0.000144134 0.05318 0.00178726 0 0.000360334 0 0.000432401 0.0879416 0.000468435 0 0.00109542 0 0 6.73723 0.00773196 3.09163 0.0246057 26.8549 0.476712
50 1.485 0 0.000144134 0.0401931 0.00205391 0 0.000360334 0 0.000432401 0.110815 0.000619775 0 0.00109542 0 0 4.85162 0.0108247 3.95823 0.0271293 25.7788 0.493151
51 1.515 0 0.000144134 0.0344403 0.00229173 0 0.000360334 0 0.000432401 0.157176 0.000843182 0.0220122 0.00110262 0 0 16.3119 0.0216495 2.37686 0.0287066 33.0291 0.515068
52 1.545 0 0.000144134 0.0341202 0.00253675 0 0.000360334 0 0.000432401 0.170614 0.00109542 0.0423307 0.00111704 0 0 14.938 0.0319588 4.5702 0.0318612 29.7729 0.535616
53 1.575 0 0.000144134 0.0241416 0.00271692 0 0.000360334 0.0153309 0.000446815 0.220492 0.00143413 0.0407522 0.00113145 0 0 15.0917 0.0427835 6.59744 0.0365931 19.0998 0.549315
54 1.605 0 0.000144134 0.0297526 0.00294754 0 0.000360334 0.0073789 0.000454021 0.24395 0.00182329 0.0392251 0.00114586 0 0 18.6856 0.056701 2.96503 0.0388013 29.4244 0.571233
