strain stress_z_GPa stress_x_GPa stress_y_GPa temp_K pe_eV_atom lx ly lz
0 -0.55281507639925 -0.490806928209899 -0.508549435386649 290.73396595736 -8.35060357427992 42.6 42.6 170.4
0.000749999999999878 -0.407649611747357 -0.447863365692315 -0.431796125325777 297.918444059934 -8.34996750248377 42.6 42.6 170.5278
0.00150000000000009 -0.237763569196558 -0.384485533215903 -0.36600900447255 302.02916321501 -8.34962427007398 42.6 42.6 170.6556
0.00224999999999997 -0.122021504494549 -0.272330412559722 -0.33794216098139 299.395677759207 -8.34995869640809 42.6 42.6 170.7834
0.00299999999999985 0.0752944744209192 -0.125846343869857 -0.197322155197261 299.664503156002 -8.34941783485488 42.6 42.6 170.9112
0.00375000000000006 0.233850504860745 -0.0789809478833306 -0.298337214268705 361.391529493586 -8.34895777071918 42.6 42.6 171.039
0.00449999999999994 0.452247966686215 0.062538418503974 0.0133114380343298 315.607793956408 -8.35128725438614 42.6 42.6 171.1668
0.00525000000000015 0.59583050478672 0.211941789616418 0.148912899938211 289.775919908369 -8.35138681459313 42.6 42.6 171.2946
0.00600000000000003 0.774084918468352 0.211288731327772 0.173549869159585 303.240627009752 -8.34933753956112 42.6 42.6 171.4224
0.00674999999999991 0.820825401249744 0.29054661744476 0.184943340509325 302.357369949897 -8.34936293740879 42.6 42.6 171.5502
0.00750000000000012 1.03347979376721 0.348620863754359 0.36767751201717 296.57702263146 -8.34945926617615 42.6 42.6 171.678
0.00825 1.16795437952024 0.450299160968443 0.453834294137631 303.398428883593 -8.34876760674477 42.6 42.6 171.8058
0.00899999999999987 1.25831012217539 0.455496120571035 0.373168052353552 297.682524218712 -8.3490363113876 42.6 42.6 171.9336
0.00975000000000008 1.39280980178289 0.567346395448737 0.56789433760292 300.897867139145 -8.34883348444241 42.6 42.6 172.0614
0.0105 1.52145218345146 0.616802404858933 0.585652024475872 301.031485384613 -8.34851290387772 42.6 42.6 172.1892
0.0112499999999998 1.62361512893041 0.725543035748535 0.651536395055143 303.607604391891 -8.34812741098606 42.6 42.6 172.317
0.0120000000000001 1.83395616032026 0.813729165490371 0.791233588952922 296.408147774284 -8.34837064055342 42.6 42.6 172.4448
0.0127499999999999 1.98332451656963 0.870428575201787 0.902285366412484 302.124141657229 -8.34807905092902 42.6 42.6 172.5726
0.0135000000000001 2.1211933479043 1.00345966269377 0.904195713468424 300.712830141771 -8.34824577611602 42.6 42.6 172.7004
0.01425 2.22430980423967 1.02177364680811 1.04618146616376 299.379184763967 -8.34796820962514 42.6 42.6 172.8282
0.0149999999999999 2.35046646816384 1.08583620005206 0.99922061413695 303.277013499632 -8.34765659982435 42.6 42.6 172.956
0.0157500000000001 2.59371786374039 1.27316640312386 1.13361186680344 341.224146020072 -8.34872788968786 42.6 42.6 173.0838
0.0165 2.75885305227017 1.31803998502659 1.21110253079907 300.459297138666 -8.34989360182113 42.6 42.6 173.2116
0.0172499999999999 2.7965407840447 1.39429322133239 1.29945719619222 290.431118737494 -8.3474827167196 42.6 42.6 173.3394
0.0180000000000001 2.74547329911963 1.33698074461541 1.18502209587674 304.961075158934 -8.34596362089512 42.6 42.6 173.4672
0.01875 3.03773342561537 1.42711416873667 1.43113652118544 298.715822339652 -8.3465260740359 42.6 42.6 173.595
0.0194999999999998 3.14917412266482 1.52125230540388 1.47435808997184 300.115515425487 -8.3460353480665 42.6 42.6 173.7228
